loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
6700,36 months,7.77,209.24,A,10+ years,RENT,87400,Not Verified,debt_consolidation,17.59,0,736,70.8,Fully Paid
4400,36 months,16.34,155.43,C,10+ years,MORTGAGE,67700,Not Verified,credit_card,22.27,0,696,62.9,Charged Off
25700,60 months,9.18,535.74,B,10+ years,MORTGAGE,63800,Source Verified,other,16.7,0,703,38.0,Fully Paid
11100,60 months,7.47,222.26,A,8 years,RENT,62500,Source Verified,debt_consolidation,13.72,1,729,71.3,Charged Off
17600,36 months,14.39,604.87,D,< 1 year,RENT,117700,Source Verified,debt_consolidation,19.32,0,675,37.5,Charged Off
3300,36 months,12.49,110.38,C,1 year,MORTGAGE,107400,Not Verified,debt_consolidation,26.05,0,686,62.1,Fully Paid
11700,36 months,7.18,362.23,A,5 years,RENT,53400,Verified,debt_consolidation,11.23,1,737,51.0,Fully Paid
4900,36 months,19.54,180.96,D,1 year,OTHER,38800,Verified,debt_consolidation,25.35,0,667,47.3,Charged Off
13000,36 months,12.54,435.15,C,2 years,RENT,76400,Source Verified,debt_consolidation,11.88,0,700,52.5,Charged Off
9300,36 months,24.44,367.02,F,10+ years,MORTGAGE,125700,Verified,debt_consolidation,19.38,0,640,4.3,Fully Paid
22500,60 months,12.89,510.68,C,10+ years,RENT,88500,Source Verified,small_business,14.51,1,703,15.0,Charged Off
11700,60 months,17.42,293.42,D,10+ years,RENT,35000,Not Verified,credit_card,13.98,0,688,95.3,Charged Off
5600,60 months,17.91,141.93,D,10+ years,MORTGAGE,18300,Verified,credit_card,16.8,1,670,88.1,Fully Paid
6500,60 months,10.84,140.81,B,10+ years,MORTGAGE,60200,Source Verified,debt_consolidation,18.05,0,716,31.4,Charged Off
13000,36 months,6.95,401.11,A,10+ years,RENT,61300,Verified,car,9.8,0,745,29.2,Fully Paid
20100,36 months,5.62,608.03,A,7 years,RENT,58900,Not Verified,car,7.78,0,735,79.0,Fully Paid
12100,36 months,10.9,395.57,B,2 years,OWN,60600,Verified,debt_consolidation,16.73,1,726,53.1,Fully Paid
7200,36 months,12.66,241.42,D,5 years,MORTGAGE,83700,Verified,debt_consolidation,23.5,0,693,83.4,Charged Off
21700,36 months,14.47,746.62,C,10+ years,MORTGAGE,35800,Not Verified,debt_consolidation,13.34,2,707,27.7,Fully Paid
4900,36 months,14.0,167.47,C,10+ years,RENT,28000,Not Verified,debt_consolidation,7.01,0,693,44.2,Fully Paid
10500,36 months,6.09,319.86,A,3 years,MORTGAGE,82400,Not Verified,debt_consolidation,8.46,0,768,45.9,Fully Paid
5200,36 months,11.98,172.66,C,1 year,RENT,89600,Not Verified,debt_consolidation,16.46,0,704,29.8,Fully Paid
15400,60 months,10.22,328.87,B,10+ years,OTHER,66600,Not Verified,debt_consolidation,19.49,1,694,39.8,Fully Paid
13200,36 months,7.2,408.79,A,10+ years,MORTGAGE,40100,Verified,debt_consolidation,9.69,0,757,47.5,Fully Paid
40000,36 months,12.55,1339.1,B,10+ years,RENT,82800,Not Verified,debt_consolidation,17.04,0,723,49.0,Charged Off
8200,60 months,14.35,192.29,C,7 years,MORTGAGE,289700,Source Verified,debt_consolidation,15.29,0,709,32.2,Fully Paid
12400,60 months,12.2,277.09,B,10+ years,RENT,38300,Verified,credit_card,5.3,1,724,55.6,Fully Paid
10400,36 months,10.0,335.58,B,2 years,RENT,32900,Verified,debt_consolidation,27.67,0,689,59.6,Charged Off
13500,36 months,15.61,472.02,D,3 years,OWN,173900,Verified,credit_card,2.94,0,692,17.6,Charged Off
11700,36 months,17.18,418.19,D,4 years,RENT,137000,Not Verified,home_improvement,17.9,1,695,66.4,Fully Paid
10800,36 months,7.24,334.66,A,3 years,MORTGAGE,70300,Verified,credit_card,5.38,0,772,59.2,Fully Paid
13700,36 months,18.28,497.21,D,7 years,MORTGAGE,32800,Not Verified,debt_consolidation,33.89,0,694,47.2,Fully Paid
